联想笔记本电脑小新Pro14 英特尔Evo平台 高性能游戏轻薄本(14核标压i9-12900H 16G 512G 2.8K 120Hz)银办公,5999.00,10万+,联想京东自营旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i5 15.6英寸游戏本 笔记本电脑(i5-12500H 16G 512G RTX3050 144Hz高色域屏)青,6499.00,10万+,华硕京东自营官方旗舰店
戴尔笔记本电脑dell灵越3511 15.6英寸全面屏轻薄本(酷睿i5 16G 512G 锐炬显卡)银 微边框 独立数字小键盘,3799.00,5万+,戴尔京东自营官方旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿 i5 锐炬显卡 8G+512G 轻薄本/高清护眼防眩光屏 灰,3399.00,50万+,华为京东自营官方旗舰店
小米 RedmiBookPro 14英寸 2.5K高色域视网膜屏 轻薄笔记本电脑(8核R7 16G 512G-SSD 指纹识别 DC调光),3999.00,10万+,小米京东自营旗舰店
华硕破晓2 12代酷睿i7 高性能轻薄本 手提笔记本电脑商用办公本 15.6英寸 12代酷睿i7 512G,5199.00,500+,华硕电脑京东自营官方旗舰店
华硕无双 英特尔Evo平台12代标压i5 15.6英寸2.8K120Hz OLED轻薄笔记本电脑(i5-12500H 16G 512G 指纹识别)银,5299.00,2万+,华硕京东自营官方旗舰店
华硕（ASUS）天选3 12代英特尔酷睿i7 15.6英寸游戏本 笔记本电脑(i7-12700H 16G 512G RTX3050 144Hz高色域屏)灰,6799.00,10万+,华硕京东自营官方旗舰店
朗捷（longe）【4本装】商务笔记本本子羊巴皮面记事本笔记本文具加厚日记本会议记录本可定制logo 4本通用装A5（黑色1，棕色1，卡其色1，酒红1）,29.80,20万+,朗捷京东自营旗舰店
朗捷（longe） 商务笔记本本子加厚记事本羊巴皮面笔记本子文具搭扣日记本办公会议记录本定制logo a5棕色（单本）,19.80,2万+,朗捷京东自营旗舰店
得力(deli)12本A5/30张无线装订软抄本 记事本/ 工作笔记本子/ 日记本 文具办公用品 7650,15.50,50万+,得力京东自营官方旗舰店
