name,releasetime,score,star
致命魔术,2006-10-17(意大利),8.8,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩"
禁闭岛,2010-02-13(德国),8.7,"莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利"
奇迹男孩,2018-01-19,9.2,"雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊"
name,releasetime,score,star
我不是药神,2018-07-05,9.6,"徐峥,周一围,王传君"
肖申克的救赎,1994-09-10(加拿大),9.5,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿"
海上钢琴师,2019-11-15,9.3,"蒂姆·罗斯,比尔·努恩 ,克兰伦斯·威廉姆斯三世"
绿皮书,2019-03-01,9.5,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼"
霸王别姬,1993-07-26,9.4,"张国荣,张丰毅,巩俐"
美丽人生,2020-01-03,9.3,"罗伯托·贝尼尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克"
小偷家族,2018-08-03,8.1,"中川雅也,安藤樱,松冈茉优"
这个杀手不太冷,1994-09-14(法国),9.4,"让·雷诺,加里·奥德曼,娜塔莉·波特曼"
哪吒之魔童降世,2019-07-26,9.6,"吕艳婷,囧森瑟夫,瀚墨"
怦然心动,2010-07-26(美国),8.9,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因"
盗梦空间,2010-09-01,9.0,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特"
星际穿越,2014-11-12,9.3,"马修·麦康纳,安妮•海瑟薇,杰西卡·查斯坦"
阿甘正传,1994-07-06(美国),9.4,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯"
楚门的世界,1998(罗马尼亚),8.9,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇"
千与千寻,2019-06-21,9.3,"柊瑠美,周冬雨,井柏然"
触不可及,2011-11-02(法国),9.1,"弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼"
辛德勒的名单,1993-11-30(美国),9.2,"连姆·尼森,拉尔夫·费因斯,本·金斯利"
寻梦环游记,2017-11-24,9.6,"安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔"
情书,1999-03-01,8.9,"中山美穗,丰川悦司,酒井美纪"
少年派的奇幻漂流,2012-11-22,9.0,"苏拉·沙玛,伊尔凡·可汗,塔布"
何以为家,2019-04-29,9.3,"赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔"
摔跤吧！爸爸,2017-05-05,9.8,"阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡"
忠犬八公的故事,2009-06-13(美国),9.3,"Forest,理查·基尔,琼·艾伦"
放牛班的春天,2004-10-16,9.5,"热拉尔·朱诺,弗朗西斯·贝尔兰德,凯德·麦拉德"
小丑,2019-10-04(美国),8.6,"杰昆·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温"
泰坦尼克号,1998-04-03,9.4,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩"
当幸福来敲门,2008-01-17,9.3,"威尔·史密斯,贾登·史密斯,坦迪·牛顿"
天堂电影院,2021-06-11,9.3,"菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂"
熔炉,2011-09-22(韩国),8.8,"孔刘,郑裕美,金智英"
三傻大闹宝莱坞,2011-12-08,9.1,"阿米尔·汗,卡琳娜·卡普,马德哈万"
你的名字。,2016-12-02,9.2,"上白石萌音,佟心竹,神木隆之介"
看不见的客人,2017-09-15,9.4,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多"
