title,detail_url,img_url
原声带 疯一样的男人----孟志 遗忘,https://www.ku6.com/video/detail?id=i1irYWmTuAduSci3vNDq9mmHcUA.,https://rbv01.ku6.com/wifi/o_1bvmdcgtj17ak1rr019o71qhq14ja1t
原声带 张东朗 画里含山,https://www.ku6.com/video/detail?id=bIrKSWYGVGMqN3upaQyJiEsKO20.,https://rbv01.ku6.com/wifi/o_1bvm7bcgg3hkbi9n9s8ahkug1g
许千千 牛奶色彩 原声带,https://www.ku6.com/video/detail?id=XqfK_a6w1jmAw-EbM5dXC6_OYtY.,https://rbv01.ku6.com/wifi/o_1bvm417s61fei8dv7sd7ishadr
原声带 疯一样的男人----孟志 游魂,https://www.ku6.com/video/detail?id=SJE4_Ery2u8sCDUNejSkeqLsMAw.,https://rbv01.ku6.com/wifi/o_1bvmdckp318l8qlgl8r14a2htt21
徐云霄 小幸运,https://www.ku6.com/video/detail?id=xXDos0aOx43V7SUxX2XJsanGndc.,https://rbv01.ku6.com/wifi/o_1bvmbh22erpj65g1tia159q8llp
夜唱 徐云霄 敢爱的冲动,https://www.ku6.com/video/detail?id=i7UpypGqhpBxHOsSZ4rBzL8eijA.,https://rbv01.ku6.com/wifi/o_1bvm41soi1mjj13ma1n4d1iq91am11f
许千千 一直在等你 原声带,https://www.ku6.com/video/detail?id=Gyxqz55FuFmx8NXnj74mzbzFwi8.,https://rbv01.ku6.com/wifi/o_1bvm41kksqvoqjh1g3l1ldg1oam17
夜唱 徐云霄 如果可以,https://www.ku6.com/video/detail?id=3G7r04mcsJE37UKCVp_VQy4l1gI.,https://rbv01.ku6.com/wifi/o_1bvm426cl1oia34c1dav602sh41n
王雪晶 单细胞,https://www.ku6.com/video/detail?id=bOqWMJXeFFMNUOB3OW_OtkLP_eA.,https://rbv01.ku6.com/wifi/o_1bvm1n3qm17ad2ld1o5bdai1bl410
原声带 倪健 途,https://www.ku6.com/video/detail?id=cdI3T1s_QTbkasSSG7AU80hFPk4.,https://rbv01.ku6.com/wifi/o_1bvm7bkc91ivg1tsl1j2l1vum1ndi1o
