name,thirty_day_average_price,thirty_day_change,thirty_day_difference,thirty_day_sales,thirty_day_volume
Milady Maker,1.4727107608996879,3.151932237167971,750.1819242747209,671,988.1889205636905
NEOSTACKEY,1.7146903389745753,-0.08192792515358181,-18.056055751000144,118,202.3334599989999
RTFKT Clone X Forging SZN 1 (PRE-FORGE) ⚒️,0.3635026355942178,-0.17015728973615754,-23.776779121833727,319,115.95734075455547
Kitsu Mintu,0.012756442195968097,0,35.61598661114293,2792,35.61598661114293
Cool Cats NFT,2.476818680694981,-0.5485151201946656,-779.3622606015985,259,641.4960383000001
Rug Radio - Genesis NFT,0.48716695758396095,-0.26102902243784476,-86.9021691980989,505,246.01931357990028
The Band Bears,1.8284070588235295,0.7062496226073304,12.86582,17,31.08292
CryptoCubes,4.6509,-0.0835665024630542,-1.6964000000000006,4,18.6036
Yuga Pass,0.8625384615384615,0,11.213,13,11.213
Devious Peoples,0.014756963672404365,0,11.171021500010104,757,11.171021500010104
My Pet Hooligan,0.9728597837606836,0.61910613405952,87.04741870000004,234,227.64918939999995
Neo Tokyo Citizens,7.034506875000001,1.3317245322654494,128.56442,32,225.10422000000003
BEANZ Official,1.8335870570623607,-0.3041142272405104,-515.2420365062312,643,1178.9964776910979
rektguy,1.706223031581889,-0.6259302720787538,-1119.167936174438,392,668.8394283801005
NessGraphics Open Editions,0.07231304410559604,0,661.2304753015702,9144,661.2304753015702
Chimpers,1.803585562621359,-0.038881138903499195,-15.030237680646962,206,371.53862589999994
JOYWORLD JOYtoys,0.16611693892875043,38.945633466839595,63.64963676589525,393,65.28395699899892
REKT-NEWS,0.5306887423293503,0,10.613774846587006,20,10.613774846587006
World of Women,1.9134610285714286,-0.2907816652889649,-137.2918429999998,175,334.85568
Webaverse Genesis Pass,0.30549239088411195,3.943363447872171,90.16674375492029,370,113.03218462712142
NFT Nifty,0.008793208213764427,0,10.19132831975297,1159,10.19132831975297
Consortium Key,3.513044,-0.19373033465670372,-21.10284,25,87.8261
Aoi by Hanako Official,0.013928653896249964,0,10.028630805299974,720,10.028630805299974
0N1 Force,0.9857638638095234,1.4952162372604403,384.54724032893654,651,641.7322753399998
Town Star,0.06364545043278638,-0.07871511889119528,-23.665760369530517,4352,276.98500028348633
DigiDaigaku Super Villain Potions,1.9038834673913043,19.834446955549474,166.750179,92,175.157279
Live Like A Cat -neko no youni ikiru-,3.027289999999998,-0.6324546948312395,-609.4785548999914,117,354.19292999999976
Meta Bounty Hunters,1.203148871577339,1.2377336735260638,264.86297288779105,398,478.8532508877809
VeeFriends Series 2,0.4029500351107026,0.3473625054445892,95.57350345098462,920,370.7140323018464
Impostors Genesis Aliens,0.6494661980433692,1.1118851935783116,150.7942508071259,441,286.41459333712584
Kubz Relic,0.035426859101623735,0,1008.2838368913131,28461,1008.2838368913131
Webbs First Deep Field NIRCam Image,0.7109330769230768,9242129,9.242129,13,9.24213
FreeNFT.xyz Royal Aura,0.08533359836064756,3.694720480634499,8.193165699999003,122,10.410698999999003
Feral File #001 - Social Codes,3.4166666666666665,-0.2463235294117647,-3.3499999999999996,3,10.25
Genesis Oath,1.3749804007352942,0.8044498383601978,500.19669922999947,816,1121.984007
